Track ID,Track Name,Artist ID,Played At
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2025-01-20T06:44:13.764Z
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:41:12.476Z
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2025-01-20T06:38:24.384Z
21LtZQQMQYwVIxc9O9Ygq8,Cherish (My Love),36cgvBn0aadzOijnjjwqMN,2025-01-20T06:34:34.625Z
41P6Tnd8KIHqON0QIydx6a,the perfect pair,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:31:37.326Z
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,06HL4z0CvFAxyc27GXpf02,2025-01-20T06:28:39.333Z
1fDFHXcykq4iw8Gg7s5hG9,About You,3mIj9lX2MWuHmhNCA7LSCW,2025-01-20T06:24:22.907Z
5wbg8kepMFoMzHOEuxiI0q,Close To You,4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:18:55.915Z
2plbrEY59IikOBgBGLjaoe,Die With A Smile,1HY2Jd0NmPuamShAr6KMms,2025-01-20T06:15:09.454Z
1lcBt7LoEikqYmhUoa2cez,number one girl,3eVa5w3URK5duf6eyVDbu9,2025-01-20T06:10:57.299Z
0OpC8hRrbsh24taKOsQBEX,Real Man,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:07:20.358Z
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2025-01-20T06:04:39.258Z
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),2YZyLoL8N0Wb9xBt1NhZWg,2025-01-20T06:01:08.448Z
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T05:58:10.365Z
2aL4lMGhWdPpyPL6COPou7,Soft Spot,3pc0bOVB5whxmD50W79wwO,2025-01-20T05:55:32.652Z
3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),3eCd0TZrBPm2n9cDG6yWfF,2025-01-20T05:52:07.905Z
3tXTu7hcpy4clOR2VBVNUk,Good enough,1khChLj7REGqjM043PlYyn,2025-01-20T05:48:18.106Z
2tmX4T7ODY34NwvQ3DD3MC,Your Existence,5o615XColiSVMPDWlslKSk,2025-01-20T05:44:20.126Z
6ZO96viUqhiRQpwxOYdwdE,bonfire,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:40:55.361Z
1jxGBe4s8FwL2ZeNWszVuu,I'm Gonna Love You,2CQZr2RPZmrcvDnaod1ldC,2025-01-20T05:36:14.618Z
41r2Q4UEDdU9cktfgQETnx,Last,6WWUJGBY4ETAE22tRmgJ8b,2025-01-20T05:33:42.329Z
7x63A2ceUzPs7UBAxmVGbf,A Song Nobody Knows,3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T05:29:46.241Z
6vBr2tIHZKaMTpK7r99O3g,daisy.,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:24:56.687Z
5ydjxBSUIDn26MFzU3asP4,Rainy Days,3JsHnjpbhX4SnySpvpa9DK,2025-01-20T05:21:17.739Z
0fN27m84ofEpWHGwJ0THYz,Forever Only,0qQI2kmsvSe2ex9k94T5vu,2025-01-20T05:18:17.640Z
1sZBzYhrQG40zcSuKkI93c,Good Parts (when the quality is bad but I am),4SpbR6yFEvexJuaBpgAU5p,2025-01-20T05:15:01.044Z
3SLlqKXr91haZQhhNYNuVk,Who Do You Love,6WeDO4GynFmK4OxwkBzMW8,2025-01-20T05:12:24.137Z
5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),3HqSLMAZ3g3d5poNaI7GOU,2025-01-20T05:07:52.741Z
0DHyNlgEaolgfVxPhyFDTq,space,7isCii8IZOBPInAYFn2n5Q,2025-01-20T05:04:36.954Z
347PJwH4XqRbeaKaIW9sX3,Bittersweet (feat. LeeHi),3rHcBT06Vb1XGVUWhDALZt,2025-01-20T05:00:52.443Z
4YaKlkNVJNbrIqN82EKFsQ,A thought on an autumn night,2SY6OktZyMLdOnscX3DCyS,2025-01-20T04:57:57.156Z
3OY2OJ26fzEtNxkB1FEolc,Dream,4U80LJd8sG6U9YTFP5izka,2025-01-20T04:54:49.745Z
2Lf2P7Hei9O23LeZQACn8E,Restless,6UbmqUEgjLA6jAcXwbM1Z9,2025-01-20T04:51:06.858Z
4UMKAWKI1ljNHNxkmAAch0,Don't ever say love me (feat. RM of BTS),3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T04:46:39.259Z
2bdVgAQgosGUJoViVDNeOV,LIMBO,3pc0bOVB5whxmD50W79wwO,2025-01-20T04:43:03.776Z
67KfktISVA3XHSRqge5JiB,ride,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T04:39:30.517Z
72eVBUhcdUQusHUhDbfQoQ,fairy of shampoo,41lcf5k3PkUdxupYLkcjCd,2025-01-20T04:35:41.475Z
5expoVGQPvXuwBBFuNGqBd,Hurt,6HvZYsbFfjnjFrWF950C9d,2025-01-20T04:32:08.980Z
6MwuIZkN3y6kgmxfskA5Zh,Soothing Breeze,0qjWYusrckF9BpkvWaoKRO,2025-01-20T11:17:53.323Z
4zPDjRgceGrR0Sm54YDTTf,Autumn Nocturne,063xkuRULzZu8fcoPR2rKR,2025-01-20T11:12:29.300Z
1hv5ICpYF2uXgcxvd2JBJ0,Perfect Night,2b9qemp1Y8NuEbY4RMYHY1,2025-01-20T11:07:34.519Z
1z5ebC9238uGoBgzYyvGpQ,toxic till the end,3eVa5w3URK5duf6eyVDbu9,2025-01-20T07:13:12.996Z
180AbZduI6bYQIzwCHRwu9,A Night To Remember,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T07:13:06.177Z
4x5YzxjrF9wvIIXJV7TveC,Till Forever Falls Apart,6P5NO5hzJbuOqSdyPB7SJM,2025-01-20T07:09:12.272Z
5CscrLqFBgPfZR8fGtikov,making the bed,1McMsnEElThX1knmY4oliG,2025-01-20T07:05:28.886Z
5meVa5klVlJalupZTvv5XX,21,4tuJ0bMpJh08umKkEXKUI5,2025-01-20T07:02:09.592Z
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0du5cEVh5yTK9QJze8zA0C,2025-01-20T06:59:03.891Z
2JN3ugW1cEahbYw0I5mw5U,Astronomy,4Uc8Dsxct0oMqx0P6i60ea,2025-01-20T06:55:29.527Z
5sA3i6SGkILMiZW6Fhx4wv,the way things go,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:51:25.134Z
5LrN7yUQAzvthd4QujgPFr,Here With Me,5y8tKLUfMvliMe8IKamR32,2025-01-20T06:48:16.713Z
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2025-01-20T06:44:13.764Z
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:41:12.476Z
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2025-01-20T06:38:24.384Z
21LtZQQMQYwVIxc9O9Ygq8,Cherish (My Love),36cgvBn0aadzOijnjjwqMN,2025-01-20T06:34:34.625Z
41P6Tnd8KIHqON0QIydx6a,the perfect pair,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:31:37.326Z
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,06HL4z0CvFAxyc27GXpf02,2025-01-20T06:28:39.333Z
1fDFHXcykq4iw8Gg7s5hG9,About You,3mIj9lX2MWuHmhNCA7LSCW,2025-01-20T06:24:22.907Z
5wbg8kepMFoMzHOEuxiI0q,Close To You,4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:18:55.915Z
2plbrEY59IikOBgBGLjaoe,Die With A Smile,1HY2Jd0NmPuamShAr6KMms,2025-01-20T06:15:09.454Z
1lcBt7LoEikqYmhUoa2cez,number one girl,3eVa5w3URK5duf6eyVDbu9,2025-01-20T06:10:57.299Z
0OpC8hRrbsh24taKOsQBEX,Real Man,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:07:20.358Z
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2025-01-20T06:04:39.258Z
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),2YZyLoL8N0Wb9xBt1NhZWg,2025-01-20T06:01:08.448Z
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T05:58:10.365Z
2aL4lMGhWdPpyPL6COPou7,Soft Spot,3pc0bOVB5whxmD50W79wwO,2025-01-20T05:55:32.652Z
3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),3eCd0TZrBPm2n9cDG6yWfF,2025-01-20T05:52:07.905Z
3tXTu7hcpy4clOR2VBVNUk,Good enough,1khChLj7REGqjM043PlYyn,2025-01-20T05:48:18.106Z
2tmX4T7ODY34NwvQ3DD3MC,Your Existence,5o615XColiSVMPDWlslKSk,2025-01-20T05:44:20.126Z
6ZO96viUqhiRQpwxOYdwdE,bonfire,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:40:55.361Z
1jxGBe4s8FwL2ZeNWszVuu,I'm Gonna Love You,2CQZr2RPZmrcvDnaod1ldC,2025-01-20T05:36:14.618Z
41r2Q4UEDdU9cktfgQETnx,Last,6WWUJGBY4ETAE22tRmgJ8b,2025-01-20T05:33:42.329Z
7x63A2ceUzPs7UBAxmVGbf,A Song Nobody Knows,3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T05:29:46.241Z
6vBr2tIHZKaMTpK7r99O3g,daisy.,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:24:56.687Z
5ydjxBSUIDn26MFzU3asP4,Rainy Days,3JsHnjpbhX4SnySpvpa9DK,2025-01-20T05:21:17.739Z
0fN27m84ofEpWHGwJ0THYz,Forever Only,0qQI2kmsvSe2ex9k94T5vu,2025-01-20T05:18:17.640Z
1sZBzYhrQG40zcSuKkI93c,Good Parts (when the quality is bad but I am),4SpbR6yFEvexJuaBpgAU5p,2025-01-20T05:15:01.044Z
3SLlqKXr91haZQhhNYNuVk,Who Do You Love,6WeDO4GynFmK4OxwkBzMW8,2025-01-20T05:12:24.137Z
5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),3HqSLMAZ3g3d5poNaI7GOU,2025-01-20T05:07:52.741Z
0DHyNlgEaolgfVxPhyFDTq,space,7isCii8IZOBPInAYFn2n5Q,2025-01-20T05:04:36.954Z
347PJwH4XqRbeaKaIW9sX3,Bittersweet (feat. LeeHi),3rHcBT06Vb1XGVUWhDALZt,2025-01-20T05:00:52.443Z
4YaKlkNVJNbrIqN82EKFsQ,A thought on an autumn night,2SY6OktZyMLdOnscX3DCyS,2025-01-20T04:57:57.156Z
3OY2OJ26fzEtNxkB1FEolc,Dream,4U80LJd8sG6U9YTFP5izka,2025-01-20T04:54:49.745Z
2Lf2P7Hei9O23LeZQACn8E,Restless,6UbmqUEgjLA6jAcXwbM1Z9,2025-01-20T04:51:06.858Z
4UMKAWKI1ljNHNxkmAAch0,Don't ever say love me (feat. RM of BTS),3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T04:46:39.259Z
2bdVgAQgosGUJoViVDNeOV,LIMBO,3pc0bOVB5whxmD50W79wwO,2025-01-20T04:43:03.776Z
67KfktISVA3XHSRqge5JiB,ride,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T04:39:30.517Z
72eVBUhcdUQusHUhDbfQoQ,fairy of shampoo,41lcf5k3PkUdxupYLkcjCd,2025-01-20T04:35:41.475Z
5expoVGQPvXuwBBFuNGqBd,Hurt,6HvZYsbFfjnjFrWF950C9d,2025-01-20T04:32:08.980Z
6MwuIZkN3y6kgmxfskA5Zh,Soothing Breeze,0qjWYusrckF9BpkvWaoKRO,2025-01-20T11:17:53.323Z
4zPDjRgceGrR0Sm54YDTTf,Autumn Nocturne,063xkuRULzZu8fcoPR2rKR,2025-01-20T11:12:29.300Z
1hv5ICpYF2uXgcxvd2JBJ0,Perfect Night,2b9qemp1Y8NuEbY4RMYHY1,2025-01-20T11:07:34.519Z
1z5ebC9238uGoBgzYyvGpQ,toxic till the end,3eVa5w3URK5duf6eyVDbu9,2025-01-20T07:13:12.996Z
180AbZduI6bYQIzwCHRwu9,A Night To Remember,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T07:13:06.177Z
4x5YzxjrF9wvIIXJV7TveC,Till Forever Falls Apart,6P5NO5hzJbuOqSdyPB7SJM,2025-01-20T07:09:12.272Z
5CscrLqFBgPfZR8fGtikov,making the bed,1McMsnEElThX1knmY4oliG,2025-01-20T07:05:28.886Z
5meVa5klVlJalupZTvv5XX,21,4tuJ0bMpJh08umKkEXKUI5,2025-01-20T07:02:09.592Z
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0du5cEVh5yTK9QJze8zA0C,2025-01-20T06:59:03.891Z
2JN3ugW1cEahbYw0I5mw5U,Astronomy,4Uc8Dsxct0oMqx0P6i60ea,2025-01-20T06:55:29.527Z
5sA3i6SGkILMiZW6Fhx4wv,the way things go,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:51:25.134Z
5LrN7yUQAzvthd4QujgPFr,Here With Me,5y8tKLUfMvliMe8IKamR32,2025-01-20T06:48:16.713Z
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2025-01-20T06:44:13.764Z
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:41:12.476Z
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2025-01-20T06:38:24.384Z
21LtZQQMQYwVIxc9O9Ygq8,Cherish (My Love),36cgvBn0aadzOijnjjwqMN,2025-01-20T06:34:34.625Z
41P6Tnd8KIHqON0QIydx6a,the perfect pair,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:31:37.326Z
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,06HL4z0CvFAxyc27GXpf02,2025-01-20T06:28:39.333Z
1fDFHXcykq4iw8Gg7s5hG9,About You,3mIj9lX2MWuHmhNCA7LSCW,2025-01-20T06:24:22.907Z
5wbg8kepMFoMzHOEuxiI0q,Close To You,4tuJ0bMpJh08umKkEXKUI5,2025-01-20T06:18:55.915Z
2plbrEY59IikOBgBGLjaoe,Die With A Smile,1HY2Jd0NmPuamShAr6KMms,2025-01-20T06:15:09.454Z
1lcBt7LoEikqYmhUoa2cez,number one girl,3eVa5w3URK5duf6eyVDbu9,2025-01-20T06:10:57.299Z
0OpC8hRrbsh24taKOsQBEX,Real Man,35l9BRT7MXmM8bv2WDQiyB,2025-01-20T06:07:20.358Z
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2025-01-20T06:04:39.258Z
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),2YZyLoL8N0Wb9xBt1NhZWg,2025-01-20T06:01:08.448Z
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",4tuJ0bMpJh08umKkEXKUI5,2025-01-20T05:58:10.365Z
2aL4lMGhWdPpyPL6COPou7,Soft Spot,3pc0bOVB5whxmD50W79wwO,2025-01-20T05:55:32.652Z
3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),3eCd0TZrBPm2n9cDG6yWfF,2025-01-20T05:52:07.905Z
3tXTu7hcpy4clOR2VBVNUk,Good enough,1khChLj7REGqjM043PlYyn,2025-01-20T05:48:18.106Z
2tmX4T7ODY34NwvQ3DD3MC,Your Existence,5o615XColiSVMPDWlslKSk,2025-01-20T05:44:20.126Z
6ZO96viUqhiRQpwxOYdwdE,bonfire,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:40:55.361Z
1jxGBe4s8FwL2ZeNWszVuu,I'm Gonna Love You,2CQZr2RPZmrcvDnaod1ldC,2025-01-20T05:36:14.618Z
41r2Q4UEDdU9cktfgQETnx,Last,6WWUJGBY4ETAE22tRmgJ8b,2025-01-20T05:33:42.329Z
7x63A2ceUzPs7UBAxmVGbf,A Song Nobody Knows,3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T05:29:46.241Z
